# Region type : patch outlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
494.5           	9.77235733e-01
495             	9.77406955e-01
495.5           	9.77577786e-01
496             	9.77748227e-01
496.5           	9.77918282e-01
497             	9.78087950e-01
497.5           	9.78257235e-01
498             	9.78426137e-01
498.5           	9.78594658e-01
499             	9.78762800e-01
499.5           	9.78930564e-01
500             	9.79097952e-01
500.5           	9.79264965e-01
501             	9.79431605e-01
501.5           	9.79597873e-01
502             	9.79763772e-01
502.5           	9.79929301e-01
503             	9.80094463e-01
503.5           	9.80259259e-01
504             	9.80423691e-01
504.5           	9.80587760e-01
505             	9.80751467e-01
505.5           	9.80914814e-01
506             	9.81077803e-01
506.5           	9.81240433e-01
507             	9.81402708e-01
507.5           	9.81564627e-01
508             	9.81726193e-01
508.5           	9.81887407e-01
509             	9.82048269e-01
509.5           	9.82208782e-01
510             	9.82368947e-01
510.5           	9.82528764e-01
511             	9.82688235e-01
511.5           	9.82847362e-01
512             	9.83006145e-01
512.5           	9.83164585e-01
513             	9.83322684e-01
513.5           	9.83480444e-01
514             	9.83637864e-01
514.5           	9.83794947e-01
515             	9.83951693e-01
515.5           	9.84108103e-01
516             	9.84264180e-01
516.5           	9.84419923e-01
517             	9.84575333e-01
517.5           	9.84730413e-01
518             	9.84885163e-01
518.5           	9.85039583e-01
519             	9.85193676e-01
519.5           	9.85347442e-01
520             	9.85500882e-01
